Code,Paper Name,Credits
EEC303,Power Systems II,4
EEC351,Power Systems II Lab,1
EEC353,Electrical and Electronics Measuring Instruments Lab,1
EEC355,Introduction to Control Systems Lab,1
EEC357,Power Electronics Lab,1
EEE306T,Analog and Digital Communications,3
EEE306P,Analog and Digital Communications Lab,1
EEE314,Powerline Carrier Communication,4
EEE330,Nano Electronics,4
EEE332,Opto Electronics,4
EEE338T,Digital Systems Design,3
EEE338P,Digital Systems Design Lab,1
EEE354,Electrical Power Generation Systems,4
EEE415T,Wireless Sensor Networks,3
EEE415P,Wireless Sensor Networks Lab,1
EEE417T,Advanced Semiconductor Devices,3
EEE417P,Advanced Semiconductor Devices Lab,1
EEE419T,Communication Systems Analysis,3
EEE419P,Communication Systems Analysis Lab,1
MEC205,Theory of Machines,4
MEC207,Strength of Materials,4
MEC209,Manufacturing Science and Technology I,4
MEC211,Thermal Engineering I,4
MEC253,Theory of Machines Lab,1
MEC255,Strength of Materials Lab,1
MEC257,Thermal Engineering I Lab,1
MEC259,Manufacturing Science and Technology I Lab,1
MEC206,Manufacturing Science and Technology II,4
MEC208,Material Science and Metallurgy,4
MEC210,Thermal Engineering II,4
MEC212,Machine Design I,4
MEC254,Manufacturing Science and Technology II Lab,1
MEC256,Thermal Engineering II Lab,1
MEC258,Machine Design I Lab,1
MEC303,Machine Design II,3
MEC305,Fluid Mechanics and Hydraulic Machines,4
MEC307,Metrology and Instrumentation,3
MEC309,Industrial Engineering,4
MEC311,Heat and Mass Transfer,4
MEC351,Machine Design II Lab,1
MEC353,Fluid Mechanics and Hydraulic Machines Lab,1
MEC355,Metrology and Instrumentation Lab,1
MEC357,Heat and Mass Transfer Lab,1
MEE306T,Automobile Engineering and Electric Vehicles,3
MEE306P,Automobile Engineering and Electric Vehicles Lab,1
MEE308T,Turbomachines,3
MEE308P,Turbomachines Lab,1
MEE310T,Finite Element Methods,3
MEE310P,Finite Element Methods Lab,1
MEE312T,IC Engines and Gas Turbines,3
MEE312P,IC Engines and Gas Turbines Lab,1
MEE314T,Gas Dynamics and Jet Propulsion,3
MEE314P,Gas Dynamics and Jet Propulsion Lab,1
MEE316T,Refrigeration and Air Conditioning,3
MEE316P,Refrigeration and Air Conditioning Lab,1
MEE318T,Power Plant Engineering,3
MEE318P,Power Plant Engineering Lab,1
MEE320T,Mechanical Vibrations,3
MEE320P,Mechanical Vibrations Lab,1
MEE322T,Reliability and Maintenance Engineering,3
MEE322P,Reliability and Maintenance Engineering Lab,1
MEE324T,Advanced Machine Design,3
MEE324P,Advanced Machine Design Lab,1
MEE326T,Introduction to CAD CAM,3
MEE326P,Introduction to CAD CAM Lab,1
MEE328T,Robotics Engineering,3
MEE328P,Robotics Engineering Lab,1
MEE330T,Advanced Material Science and Metallurgy,3
MEE330P,Advanced Material Science and Metallurgy Lab,1
MEE332T,Metal Forming and Press Working,3
MEE332P,Metal Forming and Press Working Lab,1
MEE334T,Advances in Welding and Casting,3
MEE334P,Advances in Welding and Casting Lab,1
MEE336T,System Modeling Simulation and Analysis,3
MEE336P,System Modeling Simulation and Analysis Lab,1
MEE338T,Elastic and Plastic Behaviour of Materials,3
MEE338P,Elastic and Plastic Behaviour of Materials Lab,1
MEE403T,Geometric Modelling and Analysis,3
MEE403P,Geometric Modelling and Analysis Lab,1
MEE405T,Computer Integrated Manufacturing,3
MEE405P,Computer Integrated Manufacturing Lab,1
MEE407T,Control Systems and Applications,3
MEE407P,Control Systems and Applications Lab,1
MEE409T,Rapid Prototyping Tooling and Manufacturing,3
MEE409P,Rapid Prototyping Tooling and Manufacturing Lab,1
MEE411T,Automation in Manufacturing,3
MEE411P,Automation in Manufacturing Lab,1
MEE413T,Strength of Materials II,3
MEE413P,Strength of Materials II Lab,1
MEE415T,Design of Mechanical Drives,3
MEE415P,Design of Mechanical Drives Lab,1
MEE417T,Design of Experiments,3
MEE417P,Design of Experiments Lab,1
MEE419T,Advance Metal Cutting and Tool Design,3
MEE419P,Advance Metal Cutting and Tool Design Lab,1
MEE421T,Design of Mechanical Assemblies,3
MEE421P,Design of Mechanical Assemblies Lab,1
MEE423T,Non Traditional Manufacturing,3
MEE423P,Non Traditional Manufacturing Lab,1
CEC205,Structural Analysis I,4
CEC207,Structural Design I,4
CEC209,Fluid Mechanics,4
CEC211,Geomatics Engineering,4
CEC253,Civil Engineering Drawing Lab,1
CEC255,Fluid Mechanics Lab,1
CEC257,Geomatics Engineering Lab,1
CEC206,Soil Mechanics,4
CEC208,Hydraulics and Hydrology,4
CEC210,Environmental Engineering I,4
CEC212,Transportation Engineering,4
CEC254,Soil Mechanics Lab,1
CEC256,Hydraulics Lab,1
CEC258,Transportation Engineering Lab,1
CEC303,Structural Analysis II,4
CEC305,Structural Design II,3
CEC307,Geotechnical Engineering,4
CEC309,Environmental Engineering II,4
CEC311,Traffic Engineering and Pavement Design,4
CEC351,Structural Design Lab,1
CEC353,Building Material and Concrete Testing Lab,1
CEC355,Geotechnical Engineering Lab,1
CEC357,Environmental Engineering Lab,1
CEE306,Advanced Structural Analysis,4
CEE308,Irrigation Engineering and Design of Hydraulic Structures,4
CEE310,Environmental Impact Assessment,4
CEE312T,Advanced Structural Design,3
CEE312P,Advanced Structural Design Lab,1
CEE314,Water Resource Planning,4
CEE316,Pollution Control and Monitoring,4
CEE318T,Non Destructive Evaluation of Structures,3
CEE318P,Non Destructive Evaluation of Structures Lab,1
CEE320,Open Channel Flow and Sediment Transportation,4
CEE322,Disaster Management,4
CEE403,Recent Construction Technologies,4
CEE405T,Arc GIS and Remote Sensing,3
CEE405P,Arc GIS and Remote Sensing Lab,1
CEE407T,Transport Planning and Intelligent Transportation System,3
CEE407P,Transport Planning and Intelligent Transportation System Lab,1
CEE409,Structural Dynamics,4
CEE411,Lean Construction Technology and Management,4
CEE413T,Advanced Surveying,3
CEE413P,Advanced Surveying Lab,1
AI302T,Artificial Intelligence,3
AI302P,Artificial Intelligence Lab,1
DA304T,"Statistics, Statistical Modelling & Data Analytics",3
DA304P,"Statistics, Statistical Modelling & Data Analytics Lab",1
SC401T,Soft Computing,3
SC401P,Soft Computing Lab,1
AI403T,Artificial Intelligence Applications,3
AI403P,Artificial Intelligence Applications Lab,1
AI405T,Intelligent and Expert Systems,3
AI405P,Intelligent and Expert Systems Lab,1
ML407T,Machine Learning,3
ML407P,Machine Learning Lab,1
ML409T,Reinforcement Learning and Deep Learning,3
ML409P,Reinforcement Learning and Deep Learning Lab,1
ML411T,Pattern Recognition and Computer Vision,3
ML411P,Pattern Recognition and Computer Vision Lab,1
AI316T,Artificial Intelligence and Machine Learning,3
AI316P,Artificial Intelligence and Machine Learning Lab,1
DS427T,Data Science using R,3
DS427P,Data Science using R Lab,1
DS429T,Big Data Analytics,3
DS429P,Big Data Analytics Lab,1
DS431T,Business Intelligence,3
DS431P,Business Intelligence Lab,1
DS433T,Exploratory Data Analytics and Data Visualization,3
DS433P,Exploratory Data Analytics and Data Visualization Lab,1
CS306T,Mathematics of Modern Cryptography,3
CS306P,Mathematics of Modern Cryptography Lab,1
BT308T,Blockchain Technology,3
BT308P,Blockchain Technology Lab,1
BT413T,Bitcoin and Cryptocurrency Technologies,3
BT413P,Bitcoin and Cryptocurrency Technologies Lab,1
BT415T,Smart Contracts,3
BT415P,Smart Contracts Lab,1
BT417T,Blockchain for Cyber Security,3
BT417P,Blockchain for Cyber Security Lab,1
BT419T,Blockchain Technology in Web Development,3
BT419P,Blockchain Technology in Web Development Lab,1
IOT324T,Introduction to Internet of Things,3
IOT324P,Introduction to Internet of Things Lab,1
IOT326T,Introduction to Sensors and Transducers,3
IOT326P,Introduction to Sensors and Transducers Lab,1
ES328T,Embedded Linux,3
ES328P,Embedded Linux Lab,1
IOT330T,Programming in Python,3
IOT330P,Programming in Python Lab,1
IOT332T,Wireless Sensor Networks,3
IOT332P,Wireless Sensor Networks Lab,1
CS423T,Cyber Security and Forensics,3
CS423P,Cyber Security and Forensics Lab,1
IOT441T,"IoT with Arduino, ESP and Raspberry Pi",3
IOT441P,"IoT with Arduino, ESP and Raspberry Pi Lab",1
IOT443T,Design of Smart Systems,3
IOT443P,Design of Smart Systems Lab,1
IOT445T,Internet of Things Industrial and Medical Case Studies,3
IOT445P,Internet of Things Industrial and Medical Case Studies Lab,1
IOT447T,Internet of Things Frameworks,3
IOT447P,Internet of Things Frameworks Lab,1
IOT449,Privacy and Security issues in IoT,4
NET344T,Advanced Computer Networks and Administration,3
NET344P,Advanced Computer Networks and Administration Lab,1
NET346T,Linux System Administration,3
NET346P,Linux System Administration Lab,1
NET471T,Network Programming,3
NET471P,Network Programming Lab,1
NET473T,Cloud Computing and Security,3
NET473P,Cloud Computing and Security Lab,1
NET475T,Wireless Sensor Networks,3
NET475P,Wireless Sensor Networks Lab,1
CS310T,Information Theory and Coding,3
CS310P,Information Theory and Coding Lab,1
CS312T,Network Security and Cryptography,3
CS312P,Network Security and Cryptography Lab,1
CS314T,Network Security Issues and Challenges,3
CS314P,Network Security Issues and Challenges Lab,1
CS421T,Cyber Crime and Cyber Laws,3
CS421P,Cyber Crime and Cyber Laws Lab,1
CS425T,Ethical Hacking,3
CS425P,Ethical Hacking Lab,1
ML348T,Artificial Neural Networks and Deep Learning,3
ML348P,Artificial Neural Networks and Deep Learning Lab,1
SC477T,Fuzzy Systems and Applications,3
SC477P,Fuzzy Systems and Applications Lab,1
SC479T,Global Optimization Methods,3
SC479P,Global Optimization Methods Lab,1
SC481T,Soft Computing and Expert Systems,3
SC481P,Soft Computing and Expert Systems Lab,1
DA338T,Data Analytics,3
DA338P,Data Analytics Lab,1
DS340T,Data Visualization,3
DS340P,Data Visualization Lab,1
ML342T,Machine Learning,3
ML342P,Machine Learning Lab,1
ML463T,Supervised and Deep Learning,3
ML463P,Supervised and Deep Learning Lab,1
ML465T,Unsupervised Learning,3
ML465P,Unsupervised Learning Lab,1
ML467T,Machine Learning and Data Analytics Case Studies,3
ML467P,Machine Learning and Data Analytics Case Studies Lab,1
